EAN,NAME,PRICE
3560071436223,Café capsules Compatibles Nespresso expresso SIMPL,"0,99"
3560071013035,Céréales Crunchy chocolat noir CARREFOUR SENSATION,"2,09"
3560071251505,Pistaches grillées salées CARREFOUR CLASSIC',"1,85"
3560071016944,Yaourt nature CARREFOUR CLASSIC',"0,65"
3560070322817,Petits pois et carottes extra-fins CARREFOUR CLASSIC',"0,99"
3560070720712,Jus de pomme 100% pur jus CARREFOUR EXTRA,"1,45"
3560070837885,Champignons de Paris émincés CARREFOUR CLASSIC',"0,99"
3560070737710,Céréales fourrées choco-noisette CARREFOUR SENSATION,"1,89"
3560071016074,Corn Flakes Original CARREFOUR CLASSIC',"2,15"
3560071194345,Cacao en poudre 100% cacao CARREFOUR ORIGINAL,"1,79"
3560071085124,Biscuits assortiment 13 variétés,"3,35"
3270190007418,Petits pains grillés nature CARREFOUR EXTRA,"0,99"
3560071006716,Café moulu,"0,99"
3560070966684,Compote pomme s/sucres ajoutés CARREFOUR CLASSIC',"0,99"
3560070852086,Thé vert menthe CARREFOUR SENSATION,"0,79"
3560071275891,Café soluble Intense CARREFOUR,"1,65"
3560070232963,Infusion fruits rouges CARREFOUR CLASSIC',"0,99"
3560070230778,Thé noir English Breakfast CARREFOUR CLASSIC',"0,89"
3560070824137,Couscous grains moyen CARREFOUR,"1,59"
3560070728015,Récompense pour chien Sticks à la dinde Carrefour Companino,"0,79"
3560070728077,Friandise pour chat sticks au saumon Carrefour Companino,"0,94"
3560071207137,Chocolat noir extra CARREFOUR CLASSIC',"1,35"
3560071000035,Thon au naturel SIMPL,"1,15"
3560070342983,Chocolat maxi barres,"1,59"
3245412589980,Biscottes nature CARREFOUR CLASSIC',"0,86"
3560071002282,Lentilles blondes,"1,05"
3560071016869,Pâtes spaghetti,"1,29"
3560070472888,Pâte à tartiner  au chocolat  16% noisettes Bio CARREFOUR BIO,"2,45"
3560071472351,Café dosettes Compatibles Senseo Forte SIMPL,"2,75"
