EAN,NAME,PRICE
3250390791942,Pâturages - Paturette - Crème dessert chocolat,"0,73"
3250390001829,Chabrior - Cookies pépites de chocolat & nougatine,"0,75"
3250390314271,Monique Ranou - Lardons fumés,"1,49"
3250391492909,Paquito - Compote de pomme allégée en sucres,"2,09"
3250390914884,Saint Eloi - Salade Iceberg,"1,05"
3250391468362,Monique Ranou - Taboulé à l'orientale raisins secs & menthe,"1,39"
3250390012054,Pâturages - Lait demi-écrémé,"6,00"
3250390012108,"Pâturages - Fromage blanc nature 3,2% MG","1,81"
3250390010586,Pâturages - Camembert,"1,49"
3250391343102,Monique Ranou - Jambon supérieur sans couenne,"1,76"
3250390866992,Volaé - Grignottes de poulet rôties,"2,40"
3250390859963,Odyssée - Bâtonnets de surimi,"2,99"
3250390017165,Monique Ranou - Pâte feuilletée,"0,79"
3250390148999,Chabrior - Brioche tranchée,"1,63"
3250390009092,Chabrior - Petit Beurre,"0,89"
3250390008354,Ivoria - Chocolat au lait du pays alpin,"1,72"
3250390517214,Planteur des Tropiques - Café moulu Ethiopie pur arabica,"2,86"
3250390207498,Bouton d'Or - Mélange graines grillées & salées,"2,12"
3250390001553,Paquito - Sirop fraise,"2,49"
3250390001287,Paquito - 100% pur jus orange sans pulpe,"1,30"
3250391501502,"Pommette - Couches Agility Dry, taille 4 : 7-18 kg","15,44"
3250392882334,Labell - Coton double face maxi ovales,"1,52"
3250390471622,Apta - Liquide vaisselle Protect Aloe Vera peaux sensibles,"0,68"
3250399915684,Petit prix - Citrons,"1,99"
3250390339304,Saint Eloi - Mélange gourmand,"1,09"
3250390339311,Saint Eloi - Cœurs de laitue,"1,19"
3250391818952,Saint Eloi - Duo mâche & roquette,"2,07"
3250392552480,Saint Eloi - Feuille de chêne verte prête à consommer,"0,99"
3250391435401,Paquito - Abricots moelleux,"2,25"
3250390016342,Jean Rozé - Steaks hachés pur bœuf 5%,"3,99"
3410280025537,Top Budget - Hachés plaisirs x8,"9,25"
3250390867012,Volaé - Grignottes de poulet mexicaine,"2,40"
3250392481766,Notre Sélection - Pavés de truite,"5,89"
3250391814237,Producteurs & Commerçants - Filets de limande du Nord meunière,"3,69"
3250391553310,Odyssée - Cabillaud pané,"3,29"
3250391714087,Petit prix - P'tit poisson au fromage,2
3250392053260,Odyssée - Délice surimi & crabe,"1,49"
3250390949329,Odyssée - Bâtonnets de surimi,"1,33"
3250391134373,Odyssée - Bâtonnets de surimi,"2,21"
3250390508281,Odyssée - Saumon fumé Norvège,"6,30"
3250392422226,Odyssée - Truite fumée,"3,78"
3250391402748,Odyssée Bio - Saumon Atlantique fumé BIO,"5,38"
3250390453505,Odyssée - Rillettes de thon,"1,83"
3250390453529,Odyssée - Rillettes de saumon,"1,97"
3250391713943,Odyssée - Filets d'anchois à l'huile de tournesol,"1,99"
3250390751687,Itinéraire des Saveurs - Saveur de Grèce - Tzatziki,"1,25"
3250390015123,Monique Ranou - Rillettes du Mans,"1,40"
3250390318026,Monique Ranou - Mousse de foie,"1,39"
3250390034698,Monique Ranou - Mini pâté en croûte nature,"2,59"
3250390318040,Monique Ranou - Pâté de campagne recette traditionnelle,"1,49"
3250391251889,Monique Ranou - Saucisson sec petites tranches,"1,46"
3250390457299,Monique Ranou - Rosette grandes tranches,"1,40"
3250390307167,Monique Ranou - Salami pur porc,"1,83"
3250391135189,Monique Ranou - Pavé au poivre finement relevé,"1,93"
3250390408994,Itinéraire de nos Régions - Saucisse sèche d'Auvergne Label Rouge,"5,76"
3250392334116,Itinéraire des Saveurs - Chorizo au piment d'Espagne doux,"1,75"
3250392334147,Itinéraire des Saveurs - Chorizo au piment d'Espagne fort,"1,75"
3250391835645,Itinéraire des Saveurs - Fuet Catalan qualité extra,"2,11"
3250390330189,Monique Ranou - Saucisse sèche pur porc,"2,99"
3250390016823,Monique Ranou - Cervelas,"2,39"
3250391342952,Monique Ranou - Saucisson cuit à l'ail fumé,"1,95"
3250390977049,Monique Ranou - Jambon supérieur réduit en sel conservation sans nitrite sans couenne,"1,80"
3250390457190,Monique Ranou - Jambon tranché Fin réduit en sel conservation sans nitrite sans couenne,"1,93"
3250391343010,Monique Ranou - Jambon supérieur avec couenne,"1,76"
3250390190936,Monique Ranou - Jambon le Paris sans couenne,"2,83"
3250391343133,Monique Ranou - Jambon supérieur conservation sans nitrite sans couenne,"3,27"
3250391343041,Monique Ranou - Jambon supérieur avec couenne,"2,66"
3250390773764,Monique Ranou - Rôti de porc 100% filet,"2,35"
3250390167778,Monique Ranou - Blanc de poulet doré au four,"1,98"
3250393069970,Monique Ranou - Jambon Serrano 12 mois d'affinage,"1,60"
3250390305163,Itinéraire des Saveurs - Saveur d'Italie - Coppa,"2,15"
3250391204915,Itinéraire des Saveurs - Saveur d'Italie - Jambon sec italien,"1,79"
3250391402861,Monique Ranou - Emincés de jambon réduit en sel,"1,27"
3250391352333,Monique Ranou - Dés de jambon,"1,79"
3250390314257,Monique Ranou - Lardons nature,"1,49"
3250391835621,Monique Ranou - Allumettes de bacon fumées,"1,74"
3250390171911,Monique Ranou - Allumettes fumées,"1,75"
3250390171935,Monique Ranou - Allumettes nature,"1,75"
3250391067992,Monique Ranou - Poitrine tranches fines fumée,"1,50"
3250391256419,Monique Ranou - Filet de bacon fumé au bois de hêtre,"1,84"
3250391967995,Monique Ranou - Filet de bacon fumé au bois de hêtre,"1,67"
3250390176794,Monique Ranou - Saucisses Knack pur porc,"1,50"
3250390773726,Monique Ranou - Saucisses de Francfort,"2,12"
3250390283249,Monique Ranou - Saucisses cocktails pur porc,"2,50"
3250390801320,Monique Ranou - Taboulé au poulet,"1,38"
3250390864455,Monique Ranou - Tortis au surimi sauce au yaourt,"1,67"
3250391468423,Monique Ranou - Carottes râpées,"0,99"
3250390630258,Monique Ranou - Betteraves rouges,"1,17"
3250391468850,Monique Ranou - Coleslaw sauce douce,"1,17"
3250390473534,Monique Ranou - Macédoine aux 5 légumes,"1,64"
3250390876212,Monique Ranou - Concombres sauce yaourt & ciboulette,"1,82"
3250391468911,Monique Ranou - Piémontaise jambon supérieur & tomates fraîches,"2,21"
3250391468515,Monique Ranou - Céleri rémoulade duo de moutardes,"1,65"
3250391587285,Itinéraire des Saveurs - Saveur du Liban - Houmous pois chiches,"1,53"
3250390303794,Monique Ranou - Pâte feuilletée pur beurre,"1,19"
3250391468881,Monique Ranou Bio - Pâte feuilletée BIO,"1,57"
3250390017158,Monique Ranou - Pâte brisée,"0,62"
3250390303770,Monique Ranou - Pâte brisée pur beurre,"1,26"
3250390256311,Monique Ranou - Pâte sablée,"1,05"
3250390492276,Monique Ranou - Pâte à pizza,"1,12"
3250391570706,Monique Ranou - Feuilles de Brick,"1,08"
3250392654054,Itinéraire des Saveurs - Nems poulet et sauce Nuoc mam,"1,75"
3250390637134,Itinéraire de nos Régions - Flammekueche,"2,02"
3250391215799,Itinéraire de nos Régions - Galettes de Bretagne farine de blé noir,"1,89"
3250391641765,Monique Ranou Bio - Galettes de blé noir BIO,"1,81"
3250391638673,Monique Ranou - Roulés au fromage,"1,58"
3250391639014,Monique Ranou - Croissants au jambon,"2,89"
3250392331344,Monique Ranou - Lasagnes à la bolognaise,"4,17"
3250392227685,Monique Ranou - Hachis parmentier,"2,09"
3250390553199,Fiorini - Pizza 4 fromages,"2,48"
3250391213825,Monique Ranou - Quiche Lorraine lardons fumés,"2,47"
3250392653897,Monique Ranou - Croque-monsieur jambon fromage,"1,60"
3250392654023,Itinéraire des Saveurs - Nems porc et sauce Nuoc mam,"1,73"
3250392209759,Volaé - Escalope cordon bleu,"1,73"
3250391386857,Chabrior - Demi-baguettes précuites,"0,70"
3250392232412,Chabrior - La Baguette incontournable,"1,38"
3250390747413,Pâturages - Mozzarella,"2,75"
3250391053322,Itinéraire des Saveurs - Italie - Mozzarella di Bufala Campana AOP,"1,59"
3250390678885,Pâturages - Mozzarella,"0,81"
3250391226078,Itinéraire des Saveurs - Feta grecque AOP,"2,39"
3250390743866,Pâturages - Tranche de fromage nature,"2,01"
3250390444268,Pâturages - Dés de fromage aux herbes,"2,09"
3250391799930,Pâturages - Les Tranchettes Croque Monsieur à l'emmental,"1,20"
3250390224747,Pâturages - Raclette nature,"3,57"
3250390775577,Pâturages - Fromage pour tartiflette fondant,"3,59"
3250390010258,Pâturages - Emmental français râpé,"1,63"
3250391901746,Pâturages - 3 fromages râpés,"1,91"
3250390743545,Pâturages - Emmental Français,"2,12"
3250391455201,Pâturages - Emmental français,"4,05"
3250390150589,Pâturages - Emmental français râpé,"4,07"
3250391503773,Pâturages - Mascarpone,"2,99"
3250390679653,Pâturages - Mascarpone,"1,69"
3250391334667,Pâturages - Ricotta,"1,38"
3250390244950,Itinéraire des Saveurs - Grana Padano AOP râpé,"1,39"
3250392334352,Itinéraire des Saveurs - Parmigiano Reggiano AOP râpé,"0,99"
3250390835851,Pâturages - Comté AOP affiné 6 mois minimum,"4,56"
3250390976936,Pâturages - Maasdam Les Tranchettes,"1,99"
3250390420347,Pâturages - Fromages P'tits Fondants,"2,38"
3250393026256,Pâturages - P'tits Crémeux,"1,79"
3250390420361,Pâturages - Fromages P'tits Fondants,"1,47"
3250391800025,Pâturages - Fromage à tartiner Naturais,"1,94"
3250390011620,Pâturages - Pointe de brie,"1,29"
3250390344674,Pâturages - Petit brie,"3,90"
3250390335245,Pâturages - Camembert L'Auguste,"1,75"
3250390011187,Itinéraire de nos Régions - Camembert de Normandie AOP,"2,76"
3250390010227,Pâturages - Coulommiers,"1,96"
3250390012351,Pâturages - Fromage Fleur d'Ange,"2,25"
3250390011231,Pâturages - Fromage Fleur d'Ange,"1,98"
3250390323341,Pâturages - La Brique,"1,75"
3250391289837,Pâturages - Fromage Le Petit chèvre frais,"1,90"
3250390757603,Pâturages - Fromage de chèvre Le Crottin,"1,79"
3250390749332,Pâturages - Fromage de chèvre La Pyramide,"1,43"
3250391819256,Pâturages - Le Sainte-Maure fromage de chèvre,"2,98"
3250390461777,Pâturages - Roquefort AOP au lait cru de brebis,"2,20"
